Index,period,org_code,type,attendances,breaches,admissions,performance
1,2017-03-01,RF4,1,21289,2879,5060,0.8647658415143971
4,2017-03-01,R1H,1,30210,5902,6943,0.8046342270771267
207,2017-03-01,RXF,1,20398,1515,5047,0.9257280125502501
217,2017-03-01,RW6,1,22930,4997,5328,0.7820758831225469
280,2017-03-01,RDU,1,20403,1745,6054,0.9144733617605254
348,2017-02-01,RF4,1,17917,2694,4208,0.8496400066975498
351,2017-02-01,R1H,1,25955,6186,5820,0.7616644191870545
556,2017-02-01,RXF,1,17442,3092,4347,0.8227267515193212
566,2017-02-01,RW6,1,20121,5159,4778,0.7436012126633865
628,2017-02-01,RDU,1,17357,1527,5308,0.9120239672754509
696,2017-01-01,RF4,1,20430,5247,4519,0.7431718061674009
699,2017-01-01,R1H,1,28420,7426,6435,0.7387051372273048
903,2017-01-01,RXF,1,19422,4444,4642,0.7711873133559881
913,2017-01-01,RW6,1,21943,6004,5261,0.7263819897005879
974,2017-01-01,RDU,1,19458,2980,6133,0.8468496248329735
1042,2016-12-01,RF4,1,21096,3929,4644,0.8137561623056504
1045,2016-12-01,R1H,1,29522,7298,6780,0.7527945261161169
1250,2016-12-01,RXF,1,19596,4516,4750,0.7695448050622576
1260,2016-12-01,RW6,1,22409,5784,5449,0.7418894194296934
1320,2016-12-01,RDU,1,19713,2228,6370,0.886978136255263
1388,2016-11-01,RF4,1,20117,2612,4441,0.8701595665357658
1391,2016-11-01,R1H,1,28843,5298,6612,0.816315917206948
1595,2016-11-01,RXF,1,19295,4303,4575,0.7769888572168956
1605,2016-11-01,RW6,1,22461,5318,5138,0.7632340501313388
1664,2016-11-01,RDU,1,19752,1722,6292,0.9128189550425273
1732,2016-10-01,RF4,1,20513,2797,4570,0.8636474430848731
1735,2016-10-01,R1H,1,29209,5025,6848,0.827963983703653
1940,2016-10-01,RXF,1,20172,3934,4555,0.8049771961134246
1950,2016-10-01,RW6,1,22954,4862,4957,0.7881850657837414
2009,2016-10-01,RDU,1,20345,1047,6258,0.9485377242565741
2075,2016-09-01,RF4,1,19435,2141,4243,0.8898379212760483
2078,2016-09-01,R1H,1,28857,3879,6846,0.865578542468032
2284,2016-09-01,RXF,1,19679,3083,4321,0.843335535342243
2294,2016-09-01,RW6,1,22098,3871,4625,0.8248257760883337
2352,2016-09-01,RDU,1,19981,829,6141,0.958510585055803
2417,2016-08-01,RF4,1,18825,1724,4271,0.9084196547144754
2420,2016-08-01,R1H,1,27117,3889,6570,0.8565844304310949
2629,2016-08-01,RXF,1,19201,3117,4185,0.8376647049632832
2639,2016-08-01,RW6,1,21117,3132,4764,0.8516834777667283
2697,2016-08-01,RDU,1,19460,2230,5754,0.8854059609455293
2762,2016-07-01,RF4,1,20878,3623,4091,0.8264680524954497
2765,2016-07-01,R1H,1,29016,4273,6576,0.8527364212848084
2975,2016-07-01,RXF,1,21039,2977,4463,0.8585008793193593
2985,2016-07-01,RW6,1,23354,4895,4749,0.7903999314892524
3042,2016-07-01,RDU,1,21519,2143,6382,0.9004135879920071
3107,2016-06-01,RF4,1,19377,3887,4069,0.7994013521184911
3110,2016-06-01,R1H,1,28180,5232,6484,0.8143364088005678
3320,2016-06-01,RXF,1,20267,3029,4437,0.8505452212957023
3330,2016-06-01,RW6,1,22114,3921,4622,0.8226915076422177
3388,2016-06-01,RDU,1,19970,1406,6026,0.9295943915873811
3453,2016-05-01,RF4,1,20827,4492,4306,0.7843184328035723
3456,2016-05-01,R1H,1,29397,5366,6673,0.8174643671122903
3666,2016-05-01,RXF,1,21016,2804,4531,0.8665778454510848
3676,2016-05-01,RW6,1,23710,3693,4946,0.8442429354702657
3734,2016-05-01,RDU,1,20759,1001,6159,0.9517799508646851
3798,2016-04-01,RF4,1,18788,4082,4074,0.7827336597828402
3801,2016-04-01,R1H,1,27396,5099,6424,0.8138779383851658
4012,2016-04-01,RXF,1,19118,2219,4113,0.8839313735746417
4022,2016-04-01,RW6,1,21068,3501,4741,0.8338238086197076
4078,2016-04-01,RDU,1,18792,1191,5624,0.9366219667943806
4142,2018-03-01,RF4,1,21452,6495,5144,0.6972310274100317
4145,2018-03-01,R1H,1,28465,6379,7670,0.775900228350606
4351,2018-03-01,RXF,1,20344,3742,4218,0.8160637042862761
4366,2018-03-01,RW6,1,22409,5684,6183,0.7463519121781428
4439,2018-03-01,RDU,1,20180,3409,6333,0.8310703666997027
4514,2018-02-01,RF4,1,18668,5628,4436,0.6985215341761303
4517,2018-02-01,R1H,1,25341,6000,7070,0.7632295489522908
4723,2018-02-01,RXF,1,18110,2345,3813,0.8705135284373274
4738,2018-02-01,RW6,1,19679,5121,5705,0.7397733624676051
4810,2018-02-01,RDU,1,17941,2690,5666,0.8500640989911377
4885,2018-01-01,RF4,1,21317,6104,4988,0.7136557676971431
4888,2018-01-01,R1H,1,27281,5839,7738,0.7859682562955903
5094,2018-01-01,RXF,1,19760,4196,4236,0.7876518218623482
5106,2018-01-01,RW6,1,22238,5639,6143,0.7464250382228618
5178,2018-01-01,RDU,1,20059,3287,6285,0.8361334064509697
5252,2017-12-01,RF4,1,21384,5818,5019,0.7279274223718668
5255,2017-12-01,R1H,1,26833,6098,7281,0.7727425185406029
5458,2017-12-01,RXF,1,20860,4013,4456,0.8076222435282838
5470,2017-12-01,RW6,1,22680,6740,6054,0.7028218694885362
5541,2017-12-01,RDU,1,20198,3179,6421,0.8426081790276265
5614,2017-11-01,RF4,1,21387,4921,5013,0.7699069528218077
5617,2017-11-01,R1H,1,26990,4896,6991,0.8185994812893664
5817,2017-11-01,RXF,1,19600,1826,4254,0.9068367346938775
5829,2017-11-01,RW6,1,24067,4558,6324,0.8106120413844684
5899,2017-11-01,RDU,1,19811,1712,6029,0.9135833627782545
5971,2017-10-01,RF4,1,21482,3776,4962,0.8242249325016293
5974,2017-10-01,R1H,1,27698,5476,7139,0.8022961946710954
6173,2017-10-01,RXF,1,20447,3277,4075,0.8397319900229863
6185,2017-10-01,RW6,1,24575,3768,6427,0.8466734486266532
6254,2017-10-01,RDU,1,20149,1174,5933,0.941734081095836
6325,2017-09-01,RF4,1,19992,3014,4773,0.8492396958783514
6328,2017-09-01,R1H,1,28070,5228,6676,0.8137513359458497
6524,2017-09-01,RXF,1,19453,2811,3959,0.8554978666529585
6536,2017-09-01,RW6,1,22676,3812,5836,0.8318927500440995
6602,2017-09-01,RDU,1,19468,1809,5908,0.9070782823094309
6671,2017-08-01,RF4,1,18988,3025,4631,0.8406888561196545
6674,2017-08-01,R1H,1,26810,4162,6668,0.8447594181275644
6873,2017-08-01,RXF,1,19453,3149,4292,0.8381226546034031
6884,2017-08-01,RW6,1,22134,3832,5613,0.826872684557694
6946,2017-08-01,RDU,1,19250,1857,5798,0.9035324675324675
7015,2017-07-01,RF4,1,20933,2902,4490,0.861367219223236
7018,2017-07-01,R1H,1,29475,4654,6894,0.8421034775233248
7218,2017-07-01,RXF,1,21359,3118,4878,0.8540193829299124
7228,2017-07-01,RW6,1,24481,4342,5689,0.822637964135452
7292,2017-07-01,RDU,1,20686,1751,6015,0.9153533790969738
7360,2017-06-01,RF4,1,20127,2916,4481,0.8551199880757192
7363,2017-06-01,R1H,1,28006,4029,6414,0.8561379704349068
7563,2017-06-01,RXF,1,20001,2480,4645,0.8760061996900155
7573,2017-06-01,RW6,1,22845,4287,5433,0.812344057780696
7637,2017-06-01,RDU,1,20339,1774,5763,0.912778406017995
7705,2017-05-01,RF4,1,21821,4312,4820,0.8023921910086613
7708,2017-05-01,R1H,1,29615,6075,6339,0.7948674658112442
7908,2017-05-01,RXF,1,20853,2793,4875,0.8660624370594159
7918,2017-05-01,RW6,1,23670,3700,5705,0.8436839881706801
7982,2017-05-01,RDU,1,21147,2074,6090,0.9019246228779496
8049,2017-04-01,RF4,1,19889,3172,4704,0.8405148574588969
8052,2017-04-01,R1H,1,27834,6125,6291,0.7799453905295681
8253,2017-04-01,RXF,1,19544,1674,4372,0.9143471142038477
8263,2017-04-01,RW6,1,21960,4821,5169,0.780464480874317
8327,2017-04-01,RDU,1,19209,1480,5567,0.9229527825498465
8394,2019-03-01,RF4,1,15994,4618,4703,0.7112667250218832
8397,2019-03-01,R1H,1,27950,7262,8808,0.7401788908765653
8595,2019-03-01,RXF,1,17989,2574,4090,0.8569125576741342
8610,2019-03-01,RW6,1,23649,5360,6800,0.7733519387711953
8673,2019-03-01,RDU,1,20727,3456,6284,0.8332609639600521
8752,2019-02-01,RF4,1,14569,6140,4097,0.5785572105154781
8755,2019-02-01,R1H,1,25261,6926,7883,0.7258224139978623
8953,2019-02-01,RXF,1,16355,3468,3879,0.7879547538978906
8968,2019-02-01,RW6,1,21628,6024,6196,0.7214721657111152
9032,2019-02-01,RDU,1,18765,3546,5923,0.811031175059952
9111,2019-01-01,RF4,1,16428,7363,4607,0.5518018018018018
9114,2019-01-01,R1H,1,28273,7277,8544,0.7426166307077424
9312,2019-01-01,RXF,1,17930,3920,4184,0.781372002230898
9327,2019-01-01,RW6,1,23243,7232,6746,0.6888525577593254
9391,2019-01-01,RDU,1,20818,3634,6642,0.8254395234892882
9471,2018-12-01,RF4,1,16040,5249,4814,0.6727556109725685
9474,2018-12-01,R1H,1,27102,6311,8291,0.7671389565345731
9672,2018-12-01,RXF,1,17662,3696,4186,0.7907371758577737
9687,2018-12-01,RW6,1,22606,6722,6526,0.7026453154029904
9752,2018-12-01,RDU,1,20418,2605,6431,0.8724164952492899
9833,2018-11-01,RF4,1,16897,5087,4960,0.6989406403503581
9836,2018-11-01,R1H,1,27483,5934,8348,0.784084706909726
10035,2018-11-01,RXF,1,17221,3060,3950,0.8223099703849951
10050,2018-11-01,RW6,1,22439,5062,6250,0.7744106243593742
10115,2018-11-01,RDU,1,20451,2879,6198,0.8592244878001076
10195,2018-10-01,RF4,1,16552,4513,4958,0.7273441275978734
10198,2018-10-01,R1H,1,27167,5641,8425,0.792358375970847
10398,2018-10-01,RXF,1,17824,3460,3946,0.8058797127468582
10413,2018-10-01,RW6,1,23546,4460,6617,0.8105835386052833
10479,2018-10-01,RDU,1,20202,2207,6258,0.8907533907533908
10558,2018-09-01,RF4,1,16309,4165,4804,0.7446195352259488
10561,2018-09-01,R1H,1,25934,5160,8219,0.8010333924577775
10762,2018-09-01,RXF,1,17219,3544,3851,0.7941808467390673
10777,2018-09-01,RW6,1,21893,4163,6056,0.8098478965879505
10843,2018-09-01,RDU,1,19859,2057,6093,0.8964197593030867
10922,2018-08-01,RF4,1,15473,3433,4989,0.7781296451883927
10925,2018-08-01,R1H,1,25099,4820,7715,0.8079604765130085
11126,2018-08-01,RXF,1,16852,2869,3894,0.8297531450272965
11141,2018-08-01,RW6,1,21419,3467,6201,0.8381343666837855
11206,2018-08-01,RDU,1,19432,1930,6321,0.9006792918896666
11285,2018-07-01,RF4,1,19303,4606,5004,0.7613842407915868
11288,2018-07-01,R1H,1,28357,6294,7986,0.7780442218852488
11491,2018-07-01,RXF,1,18828,2731,3981,0.8549500743573402
11506,2018-07-01,RW6,1,23887,4641,6282,0.8057102189475447
11572,2018-07-01,RDU,1,21043,1941,6519,0.9077603003374044
11651,2018-06-01,RF4,1,21187,4044,5048,0.80912823901449
11654,2018-06-01,R1H,1,26939,5008,7643,0.8140985188759791
11861,2018-06-01,RXF,1,18118,2286,4000,0.8738271332376641
11876,2018-06-01,RW6,1,22822,3067,6041,0.865612128647796
11942,2018-06-01,RDU,1,20796,2093,6511,0.899355645316407
12022,2018-05-01,RF4,1,21582,3940,5258,0.8174404596422945
12025,2018-05-01,R1H,1,28102,5196,8134,0.8151021279624227
12232,2018-05-01,RXF,1,18685,1728,4276,0.9075194005887075
12247,2018-05-01,RW6,1,23541,3298,6801,0.8599039972813389
12313,2018-05-01,RDU,1,21112,2532,6642,0.8800682076544145
12394,2018-04-01,RF4,1,20369,4970,4943,0.7560017673916245
12397,2018-04-01,R1H,1,26727,5508,7480,0.7939162644516781
12606,2018-04-01,RXF,1,17349,2160,3867,0.8754971468096144
12621,2018-04-01,RW6,1,21486,3683,6445,0.8285860560364888
12687,2018-04-01,RDU,1,19437,2401,6215,0.8764727066934198
